 CAT,  YEAR, MO, DAY, ORIG_TIME,  LAT,  LON, DEP, MAG, IEFM, DTS, DIST
 PDE,   1985,   04, 10, 162134.23,   6.87,  -72.88, 187, 4.10, mb, GS,   .. .       
 PDE,   1985,   04, 15, 001548.81,  11.34,  -72.87,  33,     ,   ,   ,   .. .       
 PDE,   1985,   04, 16, 075958.82,   9.38,  -73.68,  33, 4.70, mb, GS,   .. .       
 PDE,   1985,   04, 20, 013758.90,   7.49,  -73.21, 149, 4.40, mb, GS,   .. .       
 PDE,   1985,   04, 30, 043325.66,  11.17,  -62.34, 129, 4.50, mb, GS,   3F .       
 PDE,   1985,   05, 03, 070554.92,   9.52,  -69.45,  25, 4.90, mb, GS,   .F .       
 PDE,   1985,   05, 07, 091701   ,   6.63,  -72.84, 185, 4.20, mb, GS,   .. .       
 PDE,   1985,   05, 11, 054454.55,   9.55,  -62.46,  33, 4.20, mb, GS,   .. .       
 PDE,   1985,   05, 11, 205313.10,   6.78,  -73.00, 170, 4.20, mb, GS,   .. .       
 PDE,   1985,   05, 13, 205912.06,   6.79,  -73.05, 131, 3.40, mb, GS,   .. .       
 PDE,   1985,   06, 06, 061157.63,   6.85,  -73.11, 161,     ,   ,   ,   .. .       
 PDE,   1985,   06, 09, 131411.05,   6.82,  -73.16, 175, 3.90, mb, GS,   .. .       
 PDE,   1985,   06, 14, 071113.41,   6.76,  -73.03, 163, 4.80, mb, GS,   .F .       
 PDE,   1985,   06, 26, 234453.31,   6.85,  -72.98, 154, 5.20, mb, GS,   .F M       
 PDE,   1985,   07, 03, 185915.56,  11.44,  -71.90,  33,     ,   ,   ,   .. .       
 PDE,   1985,   07, 10, 204827.73,   6.87,  -73.16, 161, 4.80, mb, GS,   .. .       
 PDE,   1985,   07, 15, 074743.44,   7.03,  -73.47,  33,     ,   ,   ,   .. .       
 PDE,   1985,   08, 11, 090912.02,   6.92,  -73.08, 152, 4.20, mb, GS,   .. .       
 PDE,   1985,   08, 12, 192955.16,   6.73,  -73.08, 153, 4.80, mb, GS,   .. .       
 PDE,   1985,   08, 13, 170323.64,   6.89,  -72.04,  52, 4.80, mb, GS,   .. .       
 PDE,   1985,   09, 19, 230515.27,   6.81,  -72.97, 171,     ,   ,   ,   .F .       
 PDE,   1985,   09, 21, 030934.16,  11.18,  -61.61,  33,     ,   ,   ,   2F .       
 PDE,   1985,   09, 23, 022136.49,   9.73,  -73.44,  33,     ,   ,   ,   .. .       
 PDE,   1985,   09, 27, 235357.20,   6.83,  -72.78, 183, 4.40, mb, GS,   .. .       
 PDE,   1985,   10, 07, 004545.39,  11.58,  -73.04,  64, 3.80, mb, GS,   .. .       
 PDE,   1985,   10, 14, 154603.19,   6.73,  -72.93, 170,     ,   ,   ,   .. .       
 PDE,   1985,   10, 22, 004830.18,   6.79,  -73.07, 159, 4.70, mb, GS,   .. .       
 PDE,   1985,   10, 30, 214711.09,  10.78,  -62.08,  97, 3.90, mb, GS,   .. .       
 PDE,   1985,   11, 26, 000954.91,   6.87,  -73.14, 162,     ,   ,   ,   .. .       
 PDE,   1985,   11, 28, 001359.66,  11.76,  -61.39,  72, 5.30, mb, GS,   .F M       
